,headline,score,date,newsroom
0,modi-bashing by raj babbar at poll rally,0.0,2017-02-16,TimesOfIndia News
1,"bjp doesnt need crutches, wont form alliance with bsp: maurya",-0.358497,2017-02-16,TimesOfIndia News
2,up polls: sp candidate files nominations from varanasi cantt seat alloted to congress,0.0,2017-02-16,Zee news
3,up polls: akhilesh takes on shivpal in his bastion,0.0,2017-02-16,Zee news
4,"this up election is to end dynastic, caste-based politics, says amit shah in amethi",0.0,2017-02-16,Zee news
5,prime minister narendra modi doesn't need to form government in uttar pradesh to waive off farmers' loans: rahul gandhi,0.0,2017-02-16,Zee news
6,'sp-congress alliance will continue for 2019 lok sabha polls',0.0,2017-02-16,Zee news
7,"pm narendra modi draws parallel with lord krishna, says won't ditch 'mai-baap' up  ",0.0,2017-02-16,Zee news
8,"after dimple, akhilesh yadav all set to campaign for sister-in-law aparna yadav",0.0,2017-02-16,Zee news
9,bjp bets on man who ended its winning streak in allahabad,0.0,2017-02-16,Zee news
10,rahul gandhi to address election rally in sitapur today,0.0,2017-02-16,Zee news
11,uttar pradesh polls 2017: pm modi to address election rally in hardoi today,0.0,2017-02-16,Zee news
12,"up polls: mulayam, dimple yadav campaign for aparna in lucknow cantt",0.0,2017-02-16,Zee news
13,congress is taking advantage of akhilesh yadav: pm modi ,0.0,2017-02-16,Zee news
14,"up elections 2017: rahul gandhi jabs pm: we were shown ddlj's srk, got sholay's gabbar singh",0.0,2017-02-17,NDTV News
15,up election 2017: former pm atal bihari vajpayee unlikely to cast his vote,0.0,2017-02-17,NDTV News
16,trending: akhilesh yadav is don in this up elections spoof video,0.0,2017-02-17,NDTV News
17,"up election 2017: leading the real samajwadi party, says chief minister akhilesh yadav",0.0,2017-02-17,NDTV News
18,"we were promised ddlj shah rukh, got sholay's gabbar singh: rahul gandhi's dig at pm modi",0.0,2017-02-17,NDTV News
19,up elections 2017: bjp bets on man who ended its winning streak in allahabad,0.0,2017-02-17,NDTV News
20,"up election 2017: bsp may enter into an alliance with bjp after polls, says akhilesh yadav",0.0,2017-02-17,FirstPost news
21,"up election 2017: the state needs no 'adopted son', says priyanka gandhi on modi's remark",0.0,2017-02-17,FirstPost news
22,"up election 2017: rahul's raebareli roadshow falls flat, but priyanka gandhi saves the day for congress",0.561998,2017-02-17,FirstPost news
23,"up election 2017: mayawati, akhilesh could not bring development in state, says amit shah",0.0,2017-02-17,FirstPost news
24,"up election 2017: rahul gandhi retorts to modi's 'adopted son' remark, says relations more than mere talking points",0.0,2017-02-17,FirstPost news
25,up election 2017: bjp's solitary reaper in bundelkhand confident of a repeat victory,0.0,2017-02-17,FirstPost news
26,up election 2017: congress has still not defused the ticking time bomb it planted in sp's backyard,0.0,2017-02-17,FirstPost news
27,disgruntled samajwadi mlas in poll battle to defeat akhilesh,-0.718228,2017-02-17,TimesOfIndia News
28,bjp slams akhilesh yadav over sc order against tainted minister,0.0,2017-02-17,TimesOfIndia News
29,"priyanka gandhi attacks pm modi: why refer to women as only mother, daughter?",0.0,2017-02-17,TimesOfIndia News
30,"mayawati, akhilesh could not bring development in up: amit shah",0.0,2017-02-17,TimesOfIndia News
31,"pm modi promised like ddlj's shah rukh khan, turned out sholay's gabbar: rahul gandhi",0.0,2017-02-17,TimesOfIndia News
32,"i am leading 'the real' sp, says akhilesh yadav; warns detectors",0.0,2017-02-17,TimesOfIndia News
33,priyanka gandhi's attack on pm modi: uttar pradesh doesn't need 'adopted sons',0.0,2017-02-17,TimesOfIndia News
34,"arvind kejriwal trolls narendra modi on twitter, says he appears 'nervous'",-0.499089,2017-02-17,TimesOfIndia News
35,'akhilesh yadav brands self in up like narendra modi did in gujarat',0.0,2017-02-17,TimesOfIndia News
36,happy to turn up election into vote on note ban: amit shah,0.632676,2017-02-17,TimesOfIndia News
37,happy to turn up election into vote on note ban: amit shah,0.632676,2017-02-17,TimesOfIndia News
38,"akhilesh aims at uncle, targets one person",0.0,2017-02-17,TimesOfIndia News
39,tipus cycle runs into mulayam ke log',0.0,2017-02-17,TimesOfIndia News
40,"i am an adopted son of up, says pm narendra modi",0.0,2017-02-17,TimesOfIndia News
41,aparna yadav: the birth of a samajwadi neta,0.0,2017-02-17,TimesOfIndia News
42,will accept berth in akhilesh yadav cabinet: shivpal yadav,0.0,2017-02-17,TimesOfIndia News
43,"our party gave lovers space, bjp will harass them, says dimple yadav",-0.723386,2017-02-17,TimesOfIndia News
44,akhilesh hurt himself by allying with congress: amit shah,-0.655797,2017-02-17,TimesOfIndia News
45,bjp slams akhilesh over sc order against tainted minister,0.0,2017-02-17,Zee news
46,up doesn't need an 'outsider' like pm narendra modi: priyanka gandhi,0.0,2017-02-17,Zee news
47,"azam khan sparks fresh controversy, says muslims deliver more kids as they are unemployed",-0.702086,2017-02-17,Zee news
48,when rahul gandhi enacted pm narendra modi's reaction to his request to waive off farmers' loan - watch,-0.371529,2017-02-17,Zee news
49,sp-congress alliance will counter communal forces in up: akhilesh,0.0,2017-02-17,Zee news
50,"i am leading real samajwadi party, says akhilesh yadav; warns detectors",0.0,2017-02-17,Zee news
51,samajwadi party's prestige at stake in capital lucknow's 9 seats,0.0,2017-02-17,Zee news
52,"priyanka gandhi's first up poll rally today, to campaign with rahul in raebareli",0.0,2017-02-17,Zee news
53,"fir lodged against senior sp minister gayatri prajapati, 6 others in connection with gangrape",0.0,2017-02-18,FirstPost news
54,up election 2017: bjp should not listen to the voices of its own echo chamber,0.0,2017-02-18,FirstPost news
55,"rahul took cycle ride after khaat sabha flop, rajnath singh says",0.0,2017-02-18,TimesOfIndia News
56,"up will elect its own daughter, not adopted son, mayawati says",0.0,2017-02-18,TimesOfIndia News
57,"samajwadi party is a protector of rapists, smriti irani says",-0.614793,2017-02-18,TimesOfIndia News
58,"stakes high for sp, bjp in lucknow assembly seats",0.0,2017-02-18,TimesOfIndia News
59,"rahul, akhilesh love each others company: smriti irani",0.0,2017-02-18,TimesOfIndia News
